predictor,  word,  occPerM
mouth,  is,  7
mouth,  and,  6
move,  to,  39
move,  on,  31
move,  in,  11
moved,  to,  21
moved,  on,  7
moved,  from,  5
moves,  like,  5
movie,  is,  21
movie,  i,  14
movie,  and,  12
movies,  with,  9
movies,  and,  9
movies,  are,  5
moving,  to,  30
moving,  on,  13
moving,  forward,  10
mr,  president,  5
msg,  me,  6
mt,  i,  6
much,  for,  147
much,  i,  83
much,  more,  76
museum,  of,  11
music,  is,  41
music,  and,  41
music,  video,  40
must,  be,  170
must,  have,  58
must,  say,  13
my,  life,  318
my,  mom,  243
my,  favorite,  235
myself,  to,  26
myself,  in,  16
myself,  i,  15
n,  the,  25
n,  i,  17
n,  my,  15
nah,  i,  11
nah,  i'm,  5
nailed,  it,  7
nails,  done,  7
name,  is,  67
name,  of,  34
name,  on,  18
named,  after,  7
names,  of,  5
nap,  time,  11
nap,  and,  5
napoleon,  hill,  5
national,  championship,  7
nature,  of,  8
naw,  i,  5
nba,  playoffs,  11
ncaa,  tournament,  6
nd,  half,  9
nd,  time,  7
nd,  i,  6
near,  the,  20
near,  future,  14
near,  you,  9
nearly,  as,  8
necessary,  to,  9
necessary,  for,  5
need,  to,  926
need,  a,  309
need,  some,  75
needed,  to,  30
needed,  that,  10
needed,  a,  10
needless,  to,  5
needs,  to,  191
needs,  a,  52
needs,  more,  13
nervous,  about,  5
network,  is,  5
network,  of,  5
networking,  event,  7
never,  been,  58
never,  be,  54
never,  know,  44
new,  year,  128
new,  york,  124
new,  followers,  69
news,  is,  16
news,  on,  16
news,  for,  15
next,  week,  213
next,  time,  127
next,  year,  117
nfl,  draft,  16
nfl,  network,  5
nice,  to,  149
nice,  day,  26
nice,  and,  25
nicely,  done,  8
nigga,  i,  7
nigga,  you,  5
night,  at,  77
night,  and,  62
night,  i,  54
nights,  in,  6
nights,  like,  5
nite,  at,  5
no,  one,  233
no,  i,  108
no,  problem,  107
nobody,  is,  9
nobody,  else,  9
nobody,  can,  6
nominated,  for,  6
none,  of,  36
noon,  to,  5
noon,  today,  5
nope,  i,  10
nope,  not,  7
nope,  just,  6
normal,  people,  5
north,  of,  8
not,  a,  320
not,  to,  198
not,  sure,  190
note,  to,  24
note,  that,  6
note,  i,  5
nothing,  to,  60
nothing,  like,  57
nothing,  but,  40
notice,  me,  29
notice,  that,  8
notice,  the,  8
noticed,  that,  17
noticed,  by,  7
now,  i,  238
now,  that,  103
now,  i'm,  89
nowhere,  near,  5
nuff,  said,  6
number,  of,  43
number,  one,  15
number,  and,  10
ny,  and,  8
ny,  times,  5
nyc,  and,  8
nyc,  for,  8
nyc,  is,  6
o,  i,  13
o,  my,  6
o,  the,  5
obama,  is,  16
obama,  has,  5
obama,  to,  5
obsessed,  with,  32
obsession,  with,  6
of,  the,  2589
of,  my,  715
of,  a,  543
off,  to,  188
off,  the,  170
off,  my,  52
offer,  to,  8
offer,  a,  6
offered,  a,  5
offered,  to,  5
offering,  a,  6
offers,  great,  6
offers,  a,  5
office,  is,  13
office,  and,  11
office,  today,  10
official,  i,  7
officially,  a,  10
often,  do,  6
often,  the,  6
oh,  my,  119
oh,  i,  83
oh,  yeah,  74
ohh,  i,  5
ohio,  state,  12
oil,  change,  5
ok,  i,  57
ok,  so,  23
ok,  i'm,  16
okay,  i,  34
okay,  so,  13
okay,  i'm,  10
oklahoma,  city,  5
old,  school,  26
old,  man,  24
old,  and,  16
older,  than,  10
older,  i,  5
olive,  oil,  7
olive,  garden,  6
omfg,  i,  8
omg,  i,  89
omg,  i'm,  16
omg,  my,  12
omw,  to,  6
on,  the,  2198
on,  my,  756
on,  a,  620
once,  again,  41
once,  in,  25
once,  you,  25
one,  of,  700
one,  day,  129
one,  more,  101
ones,  that,  17
ones,  who,  13
ones,  i,  8
online,  and,  9
online,  at,  6
online,  for,  6
only,  one,  119
only,  thing,  62
only,  a,  60
onto,  the,  13
ooh,  i,  5
oomf,  is,  6
oops,  i,  7
open,  to,  28
open,  for,  25
open,  at,  21
opened,  up,  7
opening,  day,  30
opening,  night,  14
opening,  of,  12
opens,  the,  5
opinion,  on,  6
opinion,  of,  5
opportunities,  to,  6
opportunities,  for,  5
opportunity,  to,  36
opportunity,  for,  10
opposed,  to,  9
opposite,  of,  9
option,  for,  7
option,  to,  5
options,  for,  5
or,  not,  98
or,  a,  93
or,  something,  83
oral,  care,  5
orange,  juice,  7
order,  to,  38
order,  for,  9
order,  of,  8
ordered,  a,  7
ordered,  my,  5
other,  than,  42
other,  people,  40
other,  day,  38
others,  to,  14
others,  and,  7
others,  are,  7
otherwise,  i,  5
ought,  to,  10
our,  new,  111
our,  first,  43
our,  website,  31
out,  of,  689
out,  to,  307
out,  the,  254
outside,  of,  28
outside,  the,  19
outside,  and,  14
outta,  here,  10
outta,  my,  8
outta,  the,  6
over,  the,  189
over,  and,  54
over,  to,  51
owe,  you,  10
owe,  me,  7
own,  a,  12
own,  the,  8
own,  it,  7
owned,  by,  5
owner,  of,  9
p,  i,  8
p,  and,  7
p,  lol,  7
pace,  of,  6
pack,  of,  13
pack,  go,  6
pack,  for,  5
packed,  house,  5
packing,  for,  8
page,  and,  18
page,  of,  12
page,  for,  12
pages,  of,  9
paid,  for,  19
paid,  to,  11
paid,  off,  6
pain,  in,  11
pain,  and,  8
pain,  of,  7
pair,  of,  44
pairs,  of,  6
palm,  beach,  6
pandora,  station,  5
panel,  on,  8
panel,  at,  7
panel,  discussion,  5
pants,  on,  7
pants,  and,  6
paper,  and,  9
paper,  on,  7
paper,  is,  6
parents,  are,  15
parents,  and,  9
parents,  to,  5
park,  in,  9
park,  and,  8
park,  is,  6
parking,  lot,  23
parks,  and,  5
part,  of,  270
part,  is,  17
part,  about,  13
participate,  in,  15
participated,  in,  7
participating,  in,  14
partner,  with,  5
partner,  in,  5
parts,  of,  13
party,  at,  29
party,  in,  22
party,  with,  20
pass,  it,  13
pass,  the,  13
pass,  out,  12
passed,  away,  13
passed,  out,  11
passed,  the,  7
passes,  to,  5
passing,  of,  5
passion,  for,  7
passion,  and,  5
passionate,  about,  7
past,  the,  13
past,  few,  12
past,  week,  9
path,  to,  8
patience,  is,  5
patio,  is,  5
patricks,  day,  6
patrick's,  day,  20
patty's,  day,  9
paul,  is,  5
pay,  for,  44
pay,  attention,  16
pay,  the,  11
paying,  attention,  13
paying,  for,  11
pays,  off,  8
peace,  and,  13
peace,  to,  6
peace,  out,  6
peanut,  butter,  28
penn,  state,  10
people,  who,  169
people,  are,  135
people,  in,  83
per,  day,  8
per,  year,  6
per,  month,  5
percent,  of,  11
percentage,  of,  6
perfect,  for,  23
perfect,  day,  19
perfect,  i,  7
perform,  at,  10
performance,  of,  11
performance,  by,  9
performance,  at,  7
performing,  at,  12
performing,  live,  7
performing,  in,  5
perhaps,  the,  7
perhaps,  i,  5
perhaps,  a,  5
period,  of,  7
permission,  to,  6
person,  who,  46
person,  to,  29
person,  i,  27
personally,  i,  7
phone,  is,  26
phone,  and,  21
phone,  call,  19
photo,  shoot,  21
photo,  of,  15
photos,  of,  16
photos,  from,  8
photos,  and,  7
pi,  day,  6
pic,  of,  33
pic,  is,  10
pic,  i,  6
pick,  up,  79
pick,  me,  16
pick,  a,  12
picked,  up,  37
picked,  a,  5
picked,  the,  5
picking,  up,  24
picks,  up,  5
picks,  for,  5
pickup,  line,  6
pics,  of,  23
pics,  and,  8
pics,  from,  5
picture,  of,  44
picture,  is,  9
picture,  with,  7
pictures,  of,  32
pictures,  and,  7
pictures,  on,  6
piece,  of,  49
piece,  on,  9
pieces,  of,  9
pile,  of,  8
pint,  of,  5
piss,  me,  13
pissed,  off,  17
pissed,  at,  5
pisses,  me,  12
pissing,  me,  8
pizza,  and,  13
pizza,  is,  6
pizza,  in,  6
place,  to,  72
place,  in,  35
place,  for,  21
places,  to,  14
places,  in,  7
plan,  to,  36
plan,  on,  23
plan,  for,  21
plane,  to,  5
planned,  for,  8
planning,  on,  25
planning,  to,  20
planning,  a,  13
plans,  for,  37
plans,  to,  19
play,  the,  43
play,  with,  39
play,  in,  31
played,  a,  10
played,  the,  10
played,  in,  8
player,  in,  12
player,  of,  7
player,  and,  6
players,  in,  6
players,  and,  6
players,  are,  6
playing,  the,  35
playing,  with,  34
playing,  in,  27
playoff,  game,  11
please,  follow,  188
please,  please,  49
please,  tell,  38
pleased,  to,  10
pleased,  with,  5
pleasure,  to,  14
pleasure,  of,  6
plenty,  of,  45
pls,  rt,  8
plus,  i,  11
plus,  a,  8
plus,  the,  8
plz,  follow,  18
pm,  at,  34
pm,  on,  28
pm,  to,  24
point,  of,  29
point,  in,  17
point,  i,  10
pointed,  out,  5
points,  for,  9
points,  in,  8
points,  to,  5
pool,  party,  7
pop,  up,  11
pop,  culture,  5
portion,  of,  9
positive,  and,  6
positive,  energy,  5
possibility,  of,  6
possible,  to,  15
possible,  for,  7
possible,  that,  5
possibly,  be,  6
possibly,  the,  6
post,  a,  20
post,  on,  18
post,  it,  17
posted,  on,  17
posted,  a,  8
pounds,  of,  5
power,  of,  35
power,  to,  20
power,  and,  10
ppl,  who,  13
ppl,  in,  9
ppl,  to,  9
practice,  today,  5
practice,  and,  5
praise,  the,  5
pray,  for,  34
pray,  that,  8
prayer,  for,  6
prayers,  go,  9
prayers,  are,  6
prayers,  to,  6
praying,  for,  30
prefer,  to,  9
prefer,  the,  6
premiere,  of,  10
prep,  for,  9
preparation,  for,  5
prepare,  for,  15
prepare,  to,  7
prepared,  for,  11
prepared,  to,  11
preparing,  for,  19
preparing,  to,  9
prepping,  for,  11
presence,  of,  6
present,  to,  5
present,  and,  5
presentation,  on,  10
presentation,  at,  5
presented,  by,  8
president,  of,  12
president,  is,  5
president's,  day,  5
press,  release,  22
press,  conference,  14
pretend,  to,  10
pretending,  to,  8
pretty,  sure,  94
pretty,  good,  72
pretty,  much,  58
preview,  of,  8
previous,  tweet,  6
price,  of,  15
price,  for,  7
price,  is,  7
prior,  to,  10
pro,  bowl,  5
probably,  the,  24
probably,  not,  23
probably,  be,  18
problem,  with,  25
problem,  is,  20
problem,  i,  11
problems,  with,  9
problems,  but,  5
problems,  and,  5
process,  of,  14
process,  is,  5
product,  of,  5
production,  of,  7
productive,  day,  15
products,  and,  6
profile,  pic,  27
profile,  picture,  11
program,  for,  8
program,  is,  8
program,  at,  5
project,  is,  7
project,  for,  7
project,  i,  6
prom,  dress,  5
promise,  to,  15
promise,  you,  9
promise,  i,  6
promo,  code,  9
promote,  your,  5
proof,  that,  8
proof,  of,  5
props,  to,  18
protect,  your,  8
proud,  of,  121
proud,  to,  46
prove,  it,  8
prove,  that,  5
provide,  a,  7
provide,  the,  5
ps,  i,  12
psyched,  to,  6
psyched,  for,  5
public,  library,  12
public,  schools,  6
public,  school,  5
pull,  out,  9
pull,  it,  9
pull,  the,  7
pulled,  over,  7
pulled,  out,  5
pulling,  for,  9
pumped,  for,  16
pumped,  to,  9
pumped,  up,  6
punch,  you,  5
purchase,  of,  6
purchase,  a,  5
purpose,  of,  10
pursuit,  of,  6
put,  it,  55
put,  a,  51
put,  on,  50
puts,  me,  7
puts,  on,  5
puts,  the,  5
putting,  on,  13
putting,  together,  12
putting,  the,  11
q,  what,  11
q,  how,  8
q,  i,  5
qr,  code,  6
quality,  of,  15
quality,  time,  5
quarter,  of,  6
queen,  of,  10
question,  is,  26
question,  for,  15
question,  of,  13
questions,  about,  14
questions,  for,  10
questions,  and,  8
quick,  and,  6
quick,  to,  6
quite,  a,  29
quite,  the,  16
quite,  like,  6
quote,  of,  21
quote,  from,  11
r,  u,  87
r,  the,  12
r,  so,  10
race,  for,  6
race,  to,  6
race,  is,  5
rack,  city,  5
radio,  show,  18
radio,  station,  13
radio,  and,  7
rain,  is,  12
rain,  in,  10
rain,  rain,  10
rainy,  day,  16
rainy,  days,  5
raise,  your,  9
raise,  money,  6
raise,  the,  5
ran,  into,  17
ran,  out,  13
ran,  a,  5
range,  of,  7
rate,  of,  6
rather,  than,  41
rather,  be,  23
rather,  have,  13
rd,  and,  7
rd,  in,  5
rd,  at,  5
re,  the,  6
reach,  out,  16
reach,  the,  9
reach,  for,  5
reached,  the,  5
reaching,  out,  8
react,  to,  5
reaction,  to,  8
read,  the,  61
read,  it,  50
read,  your,  23
reading,  the,  28
reading,  your,  18
reading,  it,  16
ready,  for,  312
ready,  to,  276
ready,  and,  7
real,  life,  33
real,  talk,  14
real,  world,  14
reality,  show,  11
reality,  tv,  8
reality,  is,  7
realize,  that,  33
realize,  how,  19
realize,  you,  13
realized,  i,  22
realized,  that,  20
realized,  how,  8
realizing,  that,  5
really,  good,  79
really,  want,  70
really,  need,  54
reason,  to,  41
reason,  i,  34
reason,  why,  23
reasons,  to,  11
reasons,  why,  8
reasons,  i,  6
rebecca,  black,  5
receive,  a,  16
receive,  off,  6
receive,  the,  5
received,  a,  13
received,  the,  5
received,  my,  5
recipe,  for,  8
recommend,  it,  11
recommend,  a,  6
recommend,  the,  6
recommendations,  for,  9
record,  for,  10
record,  in,  6
record,  i,  6
recovering,  from,  7
red,  sox,  23
red,  cross,  9
red,  wine,  8
refer,  to,  13
reference,  to,  7
referred,  to,  8
referring,  to,  21
refers,  to,  6
reflection,  of,  5
refuse,  to,  25
refused,  to,  5
refuses,  to,  7
regarding,  the,  6
regardless,  of,  16
regards,  to,  6
register,  for,  8
registered,  for,  9
regret,  it,  12
regular,  season,  10
rehearsal,  for,  5
relate,  to,  9
related,  to,  22
relationship,  with,  15
relationship,  is,  8
relationships,  are,  6
relax,  and,  9
release,  of,  12
release,  party,  10
release,  date,  7
released,  in,  5
relevant,  to,  5
rely,  on,  10
remember,  the,  45
remember,  that,  44
remember,  when,  42
remind,  me,  30
remind,  you,  7
remind,  myself,  5
reminded,  me,  14
reminded,  of,  6
reminder,  that,  8
reminder,  to,  6
reminder,  of,  5
reminding,  me,  9
reminds,  me,  55
remove,  the,  5
replace,  the,  5
replied,  to,  9
reply,  to,  25
replying,  to,  5
report,  on,  10
report,  that,  5
reporting,  that,  5
reports,  that,  5
request,  for,  5
required,  to,  6
requires,  a,  5
research,  and,  9
research,  paper,  5
research,  on,  5
resource,  for,  5
resources,  for,  5
respect,  for,  23
respect,  to,  7
respect,  the,  5
respond,  to,  21
responded,  to,  10
responding,  to,  7
response,  to,  18
responsibility,  for,  5
responsible,  for,  17
rest,  of,  139
rest,  in,  19
rest,  for,  6
restaurant,  in,  10
restaurant,  week,  5
result,  of,  14
result,  in,  5
results,  in,  6
results,  of,  6
resume,  to,  6
return,  to,  22
return,  of,  8
return,  the,  8
returned,  from,  6
returning,  to,  8
returns,  to,  6
retweet,  if,  18
retweet,  this,  16
retweet,  and,  5
review,  of,  12
rewards,  just,  9
rhode,  island,  5
rich,  and,  7
rid,  of,  36
ride,  to,  12
ride,  the,  8
ride,  in,  8
riding,  the,  7
riding,  a,  6
riding,  in,  5
right,  now,  718
right,  i,  39
right,  to,  38
rights,  to,  5
rip,  whitney,  12
rip,  to,  7
rip,  steve,  6
rise,  and,  12
rise,  of,  5
risk,  of,  9
rite,  now,  14
road,  trip,  25
road,  to,  18
rock,  and,  16
rock,  the,  15
rock,  on,  15
rocked,  the,  7
rocked,  it,  7
rockin,  the,  5
rocking,  the,  8
rocking,  out,  7
role,  in,  15
role,  model,  13
role,  of,  12
roll,  out,  6
roll,  up,  6
roll,  with,  6
rolling,  in,  6
rolling,  out,  5
romney,  is,  8
room,  for,  25
room,  and,  18
room,  is,  14
root,  for,  13
rooting,  for,  24
rose,  bowl,  6
roses,  are,  6
rough,  day,  5
round,  of,  24
round,  pick,  5
route,  to,  12
rt,  i,  241
rt,  if,  149
rt,  the,  101
rts,  and,  8
ruin,  my,  6
ruin,  your,  6
ruin,  it,  5
ruined,  my,  6
rule,  of,  7
rules,  of,  6
rules,  for,  5
rumor,  has,  7
run,  with,  25
run,  in,  20
run,  into,  18
running,  the,  13
running,  for,  12
running,  a,  12
runs,  in,  8
rush,  hour,  7
s,  new,  18
s,  and,  16
s,  of,  8
sad,  to,  32
sad,  that,  22
sad,  i,  17
sadly,  i,  7
safe,  and,  25
safe,  to,  12
safe,  trip,  8
said,  i,  59
said,  it,  57
said,  that,  44
sake,  of,  6
sale,  at,  8
sale,  on,  6
sale,  in,  6
sales,  and,  5
salt,  lake,  5
salute,  to,  5
same,  thing,  77
same,  time,  62
same,  here,  51
samesex,  marriage,  5
san,  diego,  99
sat,  at,  8
sat,  in,  8
sat,  night,  7
satisfied,  with,  5
saturday,  night,  40
saturday,  at,  20
saturday,  morning,  14
save,  the,  29
save,  me,  17
save,  you,  9
saved,  by,  5
saved,  me,  5
saving,  the,  5
saw,  a,  76
saw,  the,  72
saw,  you,  39
say,  that,  110
say,  i,  78
say,  it,  72
saying,  that,  27
saying,  i,  16
saying,  the,  12
says,  i,  22
says,  the,  19
says,  he,  19
scale,  of,  6
scare,  me,  7
scared,  of,  17
scared,  to,  16
scared,  the,  6
scares,  me,  9
scary,  movie,  5
scene,  in,  7
schedule,  is,  7
schedule,  for,  6
schedule,  a,  6
scheduled,  for,  8
scheduled,  to,  6
school,  and,  33
school,  tomorrow,  30
school,  is,  28
science,  and,  5
score,  on,  5
score,  a,  5
score,  is,  5
scored,  a,  5
screening,  of,  11
screw,  you,  6
screw,  up,  5
screw,  it,  5
screwed,  up,  7
search,  for,  15
search,  of,  5
searching,  for,  17
season,  of,  31
season,  is,  23
season,  and,  13
second,  time,  14
second,  half,  13
second,  that,  11
seconds,  to,  6
seconds,  of,  6
seconds,  left,  5
secret,  of,  10
secret,  service,  9
secret,  to,  8
section,  of,  8
see,  you,  600
see,  the,  238
see,  it,  134
seeing,  you,  82
seeing,  the,  35
seeing,  a,  14
seeking,  a,  6
seem,  to,  68
seem,  like,  21
seem,  so,  5
seemed,  to,  7
seemed,  like,  6
seems,  like,  80
seems,  to,  70
seems,  that,  8
seen,  the,  38
seen,  it,  34
seen,  a,  24
sees,  the,  5
selection,  of,  6
self,  and,  5
sell,  out,  10
sell,  your,  7
sell,  the,  6
semester,  is,  6
send,  me,  75
send,  you,  53
send,  us,  28
sending,  me,  10
sending,  you,  10
sending,  out,  8
senior,  year,  7
sense,  of,  34
sense,  to,  10
sent,  you,  35
sent,  me,  24
sent,  to,  18
series,  of,  15
series,  is,  9
series,  on,  7
serious,  about,  8
seriously,  i,  15
seriously,  though,  7
seriously,  the,  6
serve,  as,  5
served,  with,  5
server,  in,  5
service,  is,  12
service,  and,  9
service,  to,  9
services,  for,  5
services,  and,  5
serving,  up,  5
session,  with,  11
session,  at,  11
session,  on,  11
set,  up,  54
set,  of,  22
set,  to,  18
setting,  up,  22
settle,  for,  12
settle,  down,  5
several,  times,  7
sex,  with,  13
sex,  is,  10
sex,  and,  8
sexy,  and,  12
shades,  of,  11
shake,  it,  11
shall,  be,  18
shall,  i,  8
shall,  we,  7
shame,  on,  14
shaping,  up,  6
share,  the,  22
share,  your,  22
share,  with,  21
sharing,  the,  16
sharing,  your,  14
sharing,  our,  7
she,  is,  136
she,  was,  95
she,  has,  47
she'll,  be,  7
shes,  a,  5
she's,  a,  31
she's,  not,  14
she's,  so,  13
shirt,  and,  8
shirt,  on,  5
shirt,  i,  5
shit,  i,  37
shit,  is,  31
shit,  out,  19
shoes,  and,  10
shoes,  are,  5
shoes,  on,  5
shoot,  me,  17
shoot,  for,  12
shoot,  with,  9
shooting,  a,  9
shooting,  for,  6
shop,  for,  8
shop,  in,  7
shop,  at,  5
shopping,  for,  13
shopping,  with,  9
shopping,  and,  7
short,  to,  10
short,  and,  9
short,  film,  9
shorts,  and,  7
shot,  of,  15
shot,  at,  11
shot,  in,  9
shots,  of,  9
shots,  shots,  5
shots,  and,  5
should,  be,  414
should,  have,  149
should,  i,  98
shouldn't,  be,  28
shouldn't,  have,  18
should've,  been,  6
shout,  out,  179
shout,  to,  5
shoutout,  to,  50
show,  at,  50
show,  on,  46
show,  is,  42
showed,  up,  17
showed,  me,  9
shower,  and,  11
showing,  up,  12
showing,  the,  6
showing,  me,  6
shows,  up,  10
shows,  that,  9
shows,  in,  7
shut,  up,  68
shut,  the,  21
shut,  down,  16
sick,  of,  40
sick,  and,  16
sick,  i,  8
side,  of,  61
side,  and,  6
side,  i,  6
sides,  of,  7
sight,  of,  6
sign,  up,  53
sign,  of,  16
sign,  that,  10
signed,  up,  31
signed,  a,  6
signed,  with,  5
signing,  up,  8
signs,  of,  7
similar,  to,  17
simple,  as,  6
simple,  and,  5
since,  i,  81
since,  the,  40
since,  you,  19
sing,  it,  8
sing,  to,  6
sing,  along,  5
singing,  the,  7
singing,  in,  6
singing,  to,  5
single,  one,  8
single,  day,  8
single,  and,  7
sir,  i,  8
sister,  is,  11
sister,  and,  10
sister,  in,  5
sit,  down,  18
sit,  in,  17
sit,  on,  16
site,  is,  17
site,  for,  12
site,  and,  11
sitting,  in,  47
sitting,  on,  25
sitting,  here,  22
situation,  is,  5
six,  months,  6
size,  of,  15
skills,  are,  5
skinny,  jeans,  7
skip,  the,  5
sky,  is,  10
skype,  with,  5
sleep,  in,  24
sleep,  i,  16
sleep,  and,  14
sleeping,  in,  13
sleeping,  with,  8
sleeping,  on,  6
slept,  in,  7
slice,  of,  9
slow,  down,  15
small,  business,  15
small,  world,  12
small,  town,  6
smart,  and,  8
smart,  phone,  8
smart,  enough,  5
smarter,  than,  7
smell,  like,  22
smell,  of,  18
smell,  the,  7
smells,  like,  28
smh,  i,  9
smh,  lol,  7
smile,  on,  16
smile,  and,  12
smile,  is,  6
smith,  is,  6
smoke,  a,  6
smoke,  weed,  6
snow,  in,  10
snow,  and,  5
snow,  is,  5
so,  much,  810
so,  i,  472
so,  far,  232
soccer,  game,  9
soccer,  team,  5
social,  media,  173
social,  networking,  13
social,  network,  12
softball,  game,  5
sold,  out,  46
solution,  to,  6
solution,  for,  5
some,  of,  205
some,  people,  105
some,  great,  62
somebody,  that,  11
somebody,  else,  9
somebody,  to,  9
someday,  i,  5
someday,  you,  5
somehow,  i,  8
someone,  who,  68
someone,  to,  57
someone,  else,  56
something,  to,  77
something,  i,  37
something,  that,  36
sometime,  soon,  11
sometime,  this,  6
sometime,  in,  5
sometimes,  i,  77
sometimes,  you,  31
sometimes,  the,  17
somewhere,  in,  11
somewhere,  else,  7
son,  is,  11
son,  of,  11
son,  and,  6
song,  is,  27
song,  i,  19
song,  on,  16
songs,  on,  10
songs,  are,  9
songs,  and,  8
soo,  much,  17
soo,  good,  5
soon,  as,  59
soon,  to,  24
soon,  i,  20
sooner,  than,  7
sore,  from,  5
sorry,  i,  99
sorry,  for,  78
sorry,  to,  65
sort,  of,  49
sorts,  of,  9
soul,  to,  6
soul,  and,  5
sound,  like,  39
sound,  of,  24
sound,  good,  8
sounded,  like,  8
sounds,  like,  183
sounds,  good,  58
sounds,  great,  24
soup,  and,  6
source,  of,  14
source,  for,  6
south,  florida,  9
south,  beach,  8
south,  park,  8
space,  for,  9
space,  and,  6
space,  in,  6
speak,  to,  17
speak,  at,  10
speak,  for,  8
speaking,  of,  21
speaking,  at,  14
speaking,  to,  9
speaks,  to,  5
special,  thanks,  11
special,  guest,  10
special,  for,  8
speed,  of,  5
spell,  it,  7
spend,  the,  19
spend,  a,  13
spend,  time,  13
spending,  the,  17
spending,  time,  12
spending,  my,  6
spent,  the,  21
spent,  on,  8
spent,  a,  8
spirit,  of,  10
spoke,  to,  7
sponsor,  of,  5
sponsored,  by,  11
sports,  fan,  5
sports,  and,  5
spot,  on,  14
spot,  in,  10
spot,  for,  10
spread,  the,  60
spreading,  the,  26
spring,  break,  55
spring,  is,  11
spring,  training,  10
st,  louis,  20
st,  time,  20
st,  round,  11
stack,  of,  6
staff,  at,  5
stage,  at,  12
stage,  and,  6
stage,  with,  6
stand,  up,  29
stand,  for,  14
stand,  in,  9
standing,  in,  10
standing,  up,  8
standing,  on,  6
stands,  for,  9
stanley,  cup,  6
star,  in,  6
stare,  at,  10
staring,  at,  20
stars,  in,  6
stars,  and,  5
start,  a,  49
start,  the,  43
start,  to,  43
started,  to,  14
started,  a,  12
started,  with,  12
starting,  to,  87
starting,  at,  25
starting,  a,  20
starts,  at,  42
starts,  in,  14
starts,  with,  12
state,  of,  46
state,  fair,  9
state,  and,  8
station,  in,  5
station,  is,  5
stay,  tuned,  113
stay,  in,  50
stay,  up,  24
stayed,  up,  8
stayed,  in,  6
stayed,  home,  5
staying,  in,  14
staying,  up,  10
staying,  at,  9
stays,  in,  6
steal,  your,  5
step,  up,  17
step,  in,  12
step,  it,  8
stepped,  on,  5
steps,  to,  7
steve,  jobs,  27
stevie,  wonder,  5
stick,  to,  18
stick,  with,  10
stick,  around,  7
sticking,  to,  5
still,  have,  90
still,  in,  62
still,  a,  50
stock,  up,  5
stock,  market,  5
stoked,  to,  15
stoked,  for,  12
stole,  my,  12
stomach,  is,  5
stood,  up,  5
stop,  by,  124
stop,  in,  38
stop,  being,  24
stopped,  by,  11
stopping,  by,  17
stopping,  in,  6
store,  for,  15
store,  in,  10
store,  and,  9
stories,  about,  7
stories,  on,  5
stories,  and,  5
story,  of,  27
story,  on,  20
story,  about,  18
straight,  up,  16
straight,  to,  12
straight,  from,  5
strategy,  for,  5
stream,  of,  5
street,  and,  7
street,  is,  7
street,  from,  7
streets,  of,  8
strength,  to,  7
strength,  and,  5
strength,  of,  5
stressed,  out,  7
strip,  club,  7
strive,  to,  5
strong,  and,  9
strong,  enough,  6
stronger,  than,  6
struggling,  to,  5
struggling,  with,  5
stuck,  in,  57
stuck,  on,  10
stuck,  at,  7
students,  to,  14
students,  are,  13
students,  and,  10
studio,  with,  7
studio,  time,  6
studio,  in,  6
study,  for,  13
study,  hall,  5
study,  of,  5
studying,  for,  16
stuff,  to,  16
stuff,  i,  16
stuff,  is,  15
stupid,  and,  7
stupid,  people,  7
style,  of,  6
style,  and,  5
submit,  your,  6
subscribe,  to,  7
succeed,  in,  5
success,  is,  32
success,  in,  10
success,  of,  6
such,  a,  302
such,  an,  47
such,  as,  16
suck,  it,  16
suck,  at,  13
suck,  my,  10
sucker,  for,  6
sucks,  i,  11
sucks,  to,  7
sucks,  but,  6
suffer,  from,  5
suggest,  you,  6
suggestions,  for,  13
suggestions,  on,  8
summer,  is,  19
summer,  i,  10
summer,  and,  9
sun,  is,  21
sun,  and,  8
sunday,  night,  20
sunday,  morning,  14
sunday,  at,  14
sunny,  day,  12
sunny,  and,  7
sunshine,  and,  5
super,  bowl,  56
super,  excited,  29
super,  cute,  9
support,  the,  25
support,  of,  23
support,  for,  19
supporting,  the,  8
suppose,  to,  28
supposed,  to,  114
supreme,  court,  10
sure,  to,  141
sure,  you,  85
sure,  i,  69
surprise,  me,  7
surprised,  by,  7
surprised,  that,  7
surprised,  if,  6
surrounded,  by,  13
suspended,  for,  5
swag,  swag,  8
swear,  i,  23
swear,  to,  7
swear,  i'm,  5
sweet,  dreams,  21
sweet,  and,  14
sweet,  i,  10
swing,  by,  14
switch,  to,  10
switched,  to,  6
switching,  to,  5
system,  is,  8
system,  and,  5
system,  for,  5
t,  shirt,  5
table,  and,  6
table,  for,  5
table,  at,  5
taco,  bell,  21
taco,  tuesday,  5
tacos,  and,  5
tag,  this,  5
take,  a,  212
take,  it,  97
take,  the,  90
taken,  a,  8
taken,  care,  6
taken,  away,  6
takes,  a,  26
takes,  the,  14
takes,  to,  13
taking,  a,  57
taking,  the,  35
taking,  my,  17
talent,  and,  8
talent,  show,  6
talent,  is,  5
talented,  and,  7
talk,  to,  196
talk,  about,  146
talk,  with,  19
talked,  to,  37
talked,  about,  17
talkin,  bout,  13
talkin,  about,  11
talkin,  to,  9
talking,  about,  209
talking,  to,  94
talking,  bout,  14
talks,  about,  16
talks,  to,  9
tampa,  bay,  8
taste,  of,  17
taste,  like,  11
taste,  in,  7
